Borough,Address,Year Built,Building Class
BX,11 BRUCKNER BOULEVARD,1931,F5
BK,243 CONOVER STREET,1931,F5
SI,304 MANOR ROAD,1998,O1
QN,10-16 162 STREET,1954,O1
BK,829 EAST 15 STREET,1931,F5
BK,113 BERRY STREET,1950,O1
BK,142 CONOVER STREET,1961,F5
BK,139A 12 STREET,1940,F5
BK,50 TAAFFE PLACE,1930,F5
BK,206 19 STREET,1925,F5
BK,303 WYTHE AVENUE,1970,F5
BK,6905 NEW UTRECHT AVENUE,1931,F5
QN,57-45 COOPER AVENUE,1931,F5
QN,1740 DECATUR STREET,1931,F5
BK,215 NORMAN AVENUE,1931,F5
SI,435 SHARROTTS ROAD,1987,F5
BK,942 METROPOLITAN AVENUE,1950,F5
BK,98 SNEDIKER AVENUE,1917,F5
BK,1831 UTICA AVENUE,1931,F5
QN,157 ONDERDONK AVENUE,1957,F5
QN,47 ONDERDONK AVENUE,1931,F5
BK,455 BALTIC STREET,1931,F5
BK,1172 60 STREET,1931,F5
BK,1325 HALSEY STREET,1925,F5
BK,142 SNEDIKER AVENUE,1980,F5
BK,615 SACKETT STREET,1931,F5
QN,36-19 STARR AVENUE,1931,F5
QN,71-01 CENTRAL AVENUE,1920,O1
BK,755 5 AVENUE,1985,F5
QN,111-07 ROOSEVELT AVENUE,1930,F5
BK,129 26 STREET,1927,F5
BK,100 BOGART STREET,2016,F5
BK,261 DOUGLASS STREET,1931,F5
BX,3300 BAINBRIDGE AVENUE,1929,O1
QN,15-37 128 STREET,1978,F5
SI,1132 FOREST AVENUE,1950,O1
BK,1779 PACIFIC STREET,2008,F5
BK,623 SACKETT STREET,1931,F5
BK,84 FERRIS STREET,1968,F5
BK,97 SUYDAM STREET,1950,F5
BK,625 39 STREET,1928,F5
BK,46 COFFEY STREET,1931,F5
QN,52-15 35 STREET,1931,F5
BX,1829 BOONE AVENUE,1931,F5
BK,362 MCGUINNESS BOULEVARD,1970,F5
QN,131-35 SANFORD AVENUE,1931,F5
QN,131-58 MAPLE AVENUE,1990,F5
BK,156 SANDFORD STREET,1959,F5
BK,217 BUTLER STREET,1931,F5
BX,959 EAST 233 STREET,1968,O1
BK,215 47 STREET,1950,F5
QN,144-04 45 AVENUE,1931,O1
BK,814 BERGEN STREET,1950,F5
BK,989 PACIFIC STREET,1930,F5
BX,382 EAST 161 STREET,1931,O1
BK,5902 13 AVENUE,1990,O1
BK,135 LIBERTY AVENUE,1923,F5
BK,667 LEXINGTON AVENUE,1932,F5
BK,275 LEXINGTON AVENUE,1931,F5
BK,4415 GLENWOOD ROAD,1970,F5
BK,155 3 STREET,2001,O1
BK,2478 MCDONALD AVENUE,1931,F5
BK,760 EAST 96 STREET,1948,F5
BK,337 ATLANTIC AVENUE,1910,F5
QN,11-11 BROADWAY,1963,F5
BK,331 NASSAU AVENUE,1965,F5
BK,20 COFFEY STREET,2015,F5
BK,124 WALWORTH STREET,1931,F5
QN,10-40 46 AVENUE,1931,F5
BK,123 LIBERTY AVENUE,2008,F5
BX,540 TIFFANY STREET,1930,F5
QN,60-15 LITTLE NECK PARKWAY,1952,F5
BK,69 GUERNSEY STREET,1909,F5
QN,,1952,O1
QN,97-11 98 STREET,1951,F5
SI,306 MANOR ROAD,1996,O1
BK,1856 UTICA AVENUE,1952,F5
SI,210 PULASKI AVENUE,1931,F5
BK,1845 FLATBUSH AVENUE,1970,O1
BK,1565 62 STREET,2012,F5
QN,36-19 35 STREET,1931,F5
QN,36-27 36 STREET,1925,F5
QN,36-11 35 STREET,1930,F5
BK,222 26 STREET,1955,F5
QN,34-52 11 STREET,1932,F5
QN,121-12 23 AVENUE,1931,O1
QN,25-12 41 AVENUE,1931,F5
BK,35 15 STREET,1931,F5
BK,208 BROADWAY,1910,F5
BX,720 EAST 239 STREET,1931,F5
BX,770 EAST 233 STREET,1930,O1
BK,8716 DITMAS AVENUE,1931,O1
QN,77-06 79 AVENUE,1972,F5
BK,169 BOGART STREET,1920,F5
BK,201 42 STREET,1910,F5
QN,148-30 94 AVENUE,1931,F5
QN,81-01 ELIOT AVENUE,1936,O1
SI,3041 VETERANS ROAD WEST,2012,O1
QN,37-08 31 AVENUE,1920,O1
BX,497 EAST 168 STREET,1931,F5
BK,276 BELMONT AVENUE,1935,F5
BK,553 UNION STREET,1931,F5
QN,80-12 JAMAICA AVENUE,1997,O1
BK,95 GERRY STREET,1931,F5
BX,1869 BATHGATE AVENUE,2001,F5
SI,211 ARLINGTON AVENUE,1955,O1
QN,115-17 MERRICK BOULEVARD,1930,O1
SI,15 HOOKER PLACE,1931,F5
BK,159 TAAFFE PLACE,1954,F5
SI,69 PORT RICHMOND AVENUE,1931,F5
BK,841 63 STREET,1930,F5
BK,317 EAST 89 STREET,1960,F5
QN,7036 64 PLACE,1931,O1
BK,214 CLIFTON PLACE,1960,O1
QN,36-41 36 STREET,1922,F5
BK,65 COMMERCE STREET,1920,F5
BK,228 48 STREET,1974,F5
BX,704 EAST 133 STREET,1931,F5
BK,481 WORTMAN AVENUE,1928,F5
BK,1068 39 STREET,1930,F5
QN,27-09 40 AVENUE,1950,F5
BK,194 MOORE STREET,1986,F5
QN,41-14 29 STREET,1941,F5
QN,110-00 15 AVENUE,1930,O1
BK,35 SEABRING STREET,1931,F5
QN,1651A CODY AVENUE,1931,F5
BK,170 SANFORD STREET,1978,F5
QN,59-11 56 STREET,1988,F5
QN,181-02 JAMAICA AVENUE,1931,F5
BK,267 49 STREET,1990,F5
BK,1827-29 PACIFIC STREET,1964,F5
BK,265 WATER STREET,1925,F5
BK,239 52 STREET,1988,F5
BK,972 DEAN STREET,1930,F5
BK,870 EAST 52 STREET,1965,F5
BK,345 CALYER STREET,1931,F5
BK,474 BALTIC STREET,1931,F5
BK,139 IMLAY STREET,1931,F5
BX,808 EAST 139 STREET,1931,F5
BK,99 EMERSON PLACE,1961,F5
BK,100 EMERSON PLACE,1955,F5
BK,123 TAAFFE PLACE,1993,F5
BK,119 SUTTON STREET,1931,F5
BK,302 STAGG STREET,1989,F5
BK,220 JUNIUS STREET,1930,F5
BK,240 47 STREET,2006,F5
BK,972 METROPOLITAN AVENUE,1989,F5
BK,501 SMITH STREET,1931,F5
QN,46-06 37 AVENUE,1931,F5
QN,22-14 37 AVENUE,1955,F5
BK,476 BALTIC STREET,1931,F5
QN,36-13 36 AVENUE,1928,F5
BK,549 3 AVENUE,1945,F5
BK,584 DEAN STREET,1950,F5
QN,54-01 FLUSHING AVENUE,1940,F5
BK,443 EAST 100 STREET,1930,F5
QN,210-12 NORTHERN BOULEVARD,1936,O1
BK,21 NORTH OXFORD STREET,1925,F5
BK,51 LEXINGTON AVENUE,1950,F5
BK,60 BERGEN STREET,1931,F5
BK,1195 ATLANTIC AVENUE,1910,F5
BK,1261 ATLANTIC AVENUE,1910,F5
BK,338 FLUSHING AVENUE,1930,F5
BK,492 LIBERTY AVENUE,1960,F5
BK,137 SOUTH 8 STREET,1920,F5
BK,106 HARRISON PLACE,1931,F5
BK,55 DUPONT STREET,1931,F5
BK,66 VAN DAM STREET,1931,F5
BK,202 4 AVENUE,1931,O1
BK,999 GRAND STREET,1920,F5
BK,48 BOGART STREET,1931,F5
BK,245 VARET STREET,1931,F5
BK,229 50 STREET,1931,F5
BK,40 VAN DYKE STREET,1925,F5
BK,170 VAN BRUNT STREET,1920,F5
BK,66 SEABRING STREET,1921,F5
BK,568 MESEROLE STREET,1931,F5
BK,106 FERRIS STREET,1920,F5
QN,1535 DECATUR STREET,1931,F5
BK,466 CARROLL STREET,1931,F5
BK,144 KING STREET,1931,F5
BK,57 SOUTH 6 STREET,1910,O1
QN,47-15 BARNETT AVENUE,1961,F5
BK,57/59 MILTON STREET,1931,F5
BK,199 POWELL STREET,1992,F5
BK,234 RUSSELL STREET,1931,F5
QN,80-60 PITKIN AVENUE,1931,F5
BK,1267 38 STREET,1931,F5
BX,881 EAST 141 STREET,1987,F5
BK,2465 ATLANTIC AVENUE,1920,F5
QN,14-52 120 STREET,1928,F5
BK,1635 62 STREET,1931,F5
BK,9900 4 AVENUE,2008,O1
BK,5223 NEW UTRECHT AVENUE,1930,F5
QN,180-15 93 AVENUE,1931,F5
QN,218-33 98 AVENUE,1931,F5
QN,218-02 97 AVENUE,1930,F5
QN,122-48 FARMERS BOULEVARD,1943,F5
QN,131-41 SANFORD AVENUE,1985,F5
BX,3451 DE LAVALL AVENUE,1972,F5
BK,844 EAST 94 STREET,1956,F5
BK,126 25 STREET,1945,F5
BK,85 14 STREET,1931,F5
SI,125 OLD TOWN ROAD,1955,O1
SI,470 SEAVIEW AVENUE,1979,O1
QN,5-17 46 ROAD,1946,F5
BK,134 NOLL STREET,1926,F5
QN,36-10 13 STREET,1931,F5
QN,40-15 24 STREET,1947,F5
BX,135 CITY ISLAND AVENUE,1920,O1
BK,20 KNICKERBOCKER AVENUE,1931,F5
BX,840 BARRY STREET,1927,F5
BK,30 STEUBEN STREET,1955,F5
QN,84-11 256 STREET,1945,O1
QN,43-08 162 STREET,1920,O1
QN,54-22 ARNOLD AVENUE,1915,F5
BK,255 KENT STREET,1931,O1
QN,,1959,O1
BK,109 WALWORTH STREET,1931,F5
BX,1066 ZEREGA AVENUE,1951,F5
QN,31-54 12 STREET,1930,F5
QN,10-34 45 ROAD,1920,F5
QN,21-27 BORDEN AVENUE,1931,F5
BK,188 DUPONT STREET,1952,F5
QN,162-04 TUSKEGEE AIRMEN WAY,1931,O1
BX,349 GRAND CONCOURSE,1931,O1
BK,17 WEST 9 STREET,1925,F5
BK,9512 3 AVENUE,1970,O1
BK,134 HINSDALE STREET,1920,F5
BK,255 DOUGLASS STREET,1931,F5
BK,1181 GRAND STREET,1960,F5
BK,607 BERGEN STREET,1930,F5
BK,132 12 STREET,1931,F5
BK,50 VAN SINDEREN AVENUE,1921,F5
BK,48 COFFEY STREET,1931,F5
BK,215 BAY STREET,1931,F5
BK,497 SCOTT AVENUE,1969,F5
BK,1784 81 STREET,1930,F5
BK,4202 GLENWOOD ROAD,1980,F5
QN,101-12 78 STREET,1940,O1
BK,6309 MILL LANE,1950,O1
SI,1481 HYLAN BOULEVARD,1930,O1
QN,115-13 JAMAICA AVENUE,1931,O1
BK,57 RICHARDS STREET,1921,F5
BK,95 4 STREET,1931,F5
BK,247 ASHFORD STREET,1930,F5
BK,259 KENT AVENUE,1980,F5
QN,82-12 ST JAMES AVENUE,1931,F5
BK,1288 WILLOUGHBY AVENUE,1931,F5
BK,238 42 STREET,1970,F5
BK,67 SEABRING STREET,1931,F5
BK,149 33 STREET,1972,F5
BX,433 BRUCKNER BOULEVARD,1954,F5
QN,106-01 101 AVENUE,1930,O1
BK,501 SCHOLES STREET,1967,F5
BK,201 INGRAHAM STREET,1931,F5
BK,995 METROPOLITAN AVENUE,1920,F5
QN,77-45 164 STREET,1957,O1
BK,92 JUNIUS STREET,1923,F5
BK,1574 PACIFIC STREET,1917,F5
BK,278 GLENMORE AVENUE,2011,F5
BK,105 SANDFORD STREET,1931,F5
BK,14 FRANKLIN STREET,1980,F5
BK,95 WALWORTH STREET,1931,F5
BK,253 BELMONT AVENUE,1994,F5
BK,1957 PITKIN AVENUE,2006,F5
BK,295 DOUGLASS STREET,1931,F5
QN,59-52 55 DRIVE,1986,F5
BK,169 DWIGHT STREET,1953,F5
QN,14-13 118 STREET,1929,F5
BK,183 VAN SICLEN AVENUE,1930,F5
BK,335 BOND STREET,1931,O1
SI,48 BRIGHTON AVENUE,1925,F5
QN,5-17 47 ROAD,1950,F5
QN,89-04 LIBERTY AVENUE,1929,F5
BK,2738 GERRITSEN AVENUE,2009,O1
BX,3249 LACONIA AVENUE,1963,O1
BK,490 FLUSHING AVENUE,1931,F5
BK,9518 AVENUE L,1931,O1
QN,97-53 85 STREET,1950,O1
MN,218 EAST 25 STREET,1915,F5
BX,2610 EAST TREMONT AVENUE,1926,O1
BK,2131 FLATBUSH AVENUE,1931,O1
BK,47 BARTLETT STREET,1931,F5
BK,2657 EAST 14 STREET,1927,O1
SI,500 SEAVIEW AVENUE,1987,O1
QN,52-09 69 STREET,1956,O1
BX,589 EAST 132 STREET,1931,F5
BK,348 BROADWAY,1920,F5
BK,759 EAST 43 STREET,1973,F5
BK,898 EAST 92 STREET,1963,F5
BK,701 EUCLID AVENUE,1959,O1
BK,43 FERRIS STREET,1925,F5
BK,1868 PITKIN AVENUE,1992,F5
BK,324 TEN EYCK STREET,1920,F5
BX,175 CITY ISLAND AVENUE,1925,F5
BK,102 13 STREET,1958,F5
BK,2184 MILL AVENUE,1930,F5
MN,230 EAST 122 STREET,1920,F5
BK,673 LIVONIA AVENUE,1930,F5
BK,236 RICHARDS STREET,1900,F5
BK,236 GREENPOINT AVENUE,1931,F5
BK,406 VERMONT STREET,1992,O1
BK,2902 AVENUE U,1956,O1
BK,315 DOUGLASS STREET,1931,F5
BK,134 2 STREET,1931,F5
BK,65 TAAFFE PLACE,1930,F5
QN,25-37 51 AVENUE,1931,F5
QN,35-39 VERNON BOULEVARD,1941,F5
BK,757 CLINTON STREET,1936,F5
BK,168 COOK STREET,1931,F5
QN,34-47 10 STREET,1941,F5
QN,12-16 30 AVENUE,1960,F5
QN,42-35 BELL BOULEVARD,1995,O1
QN,45-33 DAVIS STREET,1931,O1
QN,34-29 37 STREET,1922,F5
QN,214-18 24 AVENUE,1950,O1
QN,37-24 10 STREET,1951,F5
BK,266 BANKER STREET,1931,F5
BK,62 THROOP AVENUE,1931,F5
BX,534 EAST 134 STREET,1915,F5
BK,33 SKILLMAN AVENUE,1920,O1
BK,37 ALABAMA AVENUE,1910,F5
BK,830 HUMBOLDT STREET,1931,F5
QN,19-23 CORNAGA AVENUE,1931,O1
BK,132 DWIGHT STREET,1931,F5
BK,289 WYCKOFF STREET,1947,O1
BK,1142 EAST 92 STREET,1956,O1
BK,116 SPENCER STREET,1951,F5
BX,287 EAST 148 STREET,1931,O1
QN,104-04 CORONA AVENUE,1931,O1
BK,1236 60 STREET,1960,F5
QN,54-11 QUEENS BOULEVARD,1989,O1
BX,2800 BRONXWOOD AVENUE,2013,O1
MN,442 WEST 49 STREET,1924,F5
BK,282 LIBERTY AVENUE,1930,F5
MN,171 CHRISTOPHER STREET,1946,O1
BK,847 EAST 52 STREET,1955,F5
BK,176 27 STREET,1968,F5
SI,4 SYLVIA STREET,1956,O1
BK,15 NEPTUNE AVENUE,1930,F5
SI,91 WINANT PLACE,2006,F5
BX,2881 MIDDLETOWN ROAD,1952,F5
QN,45-54 204 STREET,1920,F5
BX,1342 INWOOD AVENUE,1990,F5
BK,111 CLASSON AVENUE,1980,F5
BX,371 RIDER AVENUE,1931,F5
QN,,1931,F5
BX,813 TRINITY AVENUE,1920,F5
BK,2025 ATLANTIC AVENUE,1921,F5
SI,526 RICHMOND TERRACE,2001,F5
BK,205 POWELL STREET,1992,F5
SI,1922 VICTORY BOULEVARD,1955,O1
BK,324 BUTLER STREET,1931,F5
BK,11 NEPTUNE AVENUE,1954,F5
SI,660 GULF AVENUE,1940,O1
BK,105 JAMAICA AVENUE,1931,F5
BK,325 NEVINS STREET,1931,F5
BK,349 SUYDAM STREET,1931,F5
BK,1613 63 STREET,1931,F5
BK,76 OTSEGO STREET,1962,F5
BK,317 LIBERTY AVENUE,1930,F5
QN,,1949,F5
MN,312 SPRING STREET,1915,O1
QN,29-02 BORDEN AVENUE,1940,F5
BX,1337 JEROME AVENUE,1920,O1
BK,4902 3 AVENUE,1988,F5
BX,856 EAST 136 STREET,1931,F5
BX,5772 MOSHOLU AVENUE,1963,O1
BK,60 GRATTAN STREET,2009,F5
BK,68 SUMMIT STREET,1931,F5
BK,1745 EAST NEW YORK AVENUE,2012,F5
BX,1801 CARTER AVENUE,1931,F5
BX,4362 PARK AVENUE,1911,F5
BK,145 WALWORTH STREET,1959,F5
BK,237 26 STREET,1995,F5
BK,478 KENT AVENUE,1940,F5
BX,390 MORRIS PARK AVENUE,1978,O1
BK,387 BUSHWICK AVENUE,1931,F5
BK,404 HOYT STREET,1961,F5
BK,246 MESEROLE STREET,1920,F5
BK,1074 62 STREET,1931,F5
BK,473 76 STREET,1930,O1
BK,31 GRAVESEND NECK ROAD,1931,F5
QN,144-10 JAMAICA AVENUE,1959,O1
BK,400 JEFFERSON STREET,1931,F5
BK,242 MOFFAT STREET,2012,F5
BK,156 17 STREET,1925,F5
QN,43-37 9 STREET,1950,F5
BK,1340 RALPH AVENUE,2009,F5
BK,1285 36 STREET,1931,F5
QN,161-38 28 AVENUE,1964,O1
QN,145-64 LIBERTY AVENUE,1940,F5
QN,241-28 SOUTH CONDUIT AVENUE,1967,O1
SI,73A JOHNSON AVENUE,1931,F5
BK,1 DIVISION AVENUE,1946,F5
BX,3015 EASTCHESTER ROAD,1949,O1
QN,8-01 26 AVENUE,1943,F5
BK,1324 MCDONALD AVENUE,1931,O1
BK,181 WATER STREET,1973,F5
QN,65-31 FRESH MEADOW LANE,1950,O1
BX,540 MANIDA STREET,1967,F5
QN,15-08 121 STREET,1925,F5
BK,72 NORTH 15 STREET,1918,F5
BK,171 VAN BRUNT STREET,1925,F5
BK,41 CLINTON AVENUE,1951,F5
QN,38-61 10 STREET,1916,F5
QN,15-40 127 STREET,1928,F5
QN,16-23 CODY AVENUE,1953,F5
QN,182-15 HORACE HARDING EXPWY,1970,O1
BX,1177 EAST 156 STREET,1936,F5
BK,544 PARK AVENUE,1959,F5
BK,1201 FLUSHING AVENUE,1923,F5
BX,2941 BRUCKNER BOULEVARD,1997,O1
BK,1165 ROCKAWAY AVENUE,1970,O1
BK,401 WYTHE AVENUE,1900,F5
BK,166 25 STREET,1960,F5
BK,60 FRANKLIN AVENUE,1935,F5
BK,6409 14 AVENUE,1931,F5
QN,150-32 12 ROAD,1930,F5
BK,192 SEIGEL STREET,1931,F5
BK,73 WYTHE AVENUE,1900,F5
BX,4110 PARK AVENUE,1931,F5
BK,1254 UTICA AVENUE,1931,F5
QN,179-30 149 STREET,1966,O1
BK,738 65 STREET,1931,F5
BK,58 SEABRING STREET,1955,F5
QN,111-09 JAMAICA AVENUE,1931,O1
BK,189 CONOVER STREET,1920,F5
BK,924 60 STREET,1978,F5
BK,130 MONTGOMERY STREET,1920,F5
SI,451 SPENCER STREET,1931,F5
BK,502 FLUSHING AVENUE,1931,F5
BK,957 ESSEX STREET,1993,F5
BK,3923 NEW UTRECHT AVENUE,1930,F5
BX,447 EAST 172 STREET,1931,F5
BX,810 EAST 141 STREET,1931,F5
BK,5907 PRESTON COURT,1960,F5
BK,4512 FARRAGUT ROAD,1931,O1
BX,861 EAGLE AVENUE,1900,F5
BX,890 ZEREGA AVENUE,1980,F5
BK,259 BOND STREET,1920,F5
BK,214 25 STREET,1950,F5
BK,919 GRAND STREET,1900,F5
BK,325 JOHNSON AVENUE,1970,F5
QN,39-31 21 STREET,1957,F5
QN,54-65 48 STREET,1930,O1
QN,56-63 MELVINA PLACE,1935,F5
SI,3083 RICHMOND TERRACE,1931,F5
QN,63-44 AUSTIN STREET,1941,O1
MN,246 DYCKMAN STREET,1927,F5
BX,2422 3 AVENUE,1940,F5
BX,391 RIDER AVENUE,1931,F5
BX,796 EAST 140 STREET,1969,F5
BK,189 1 STREET,1940,F5
BX,1187 EAST 156 STREET,1951,F5
BX,531 TIFFANY STREET,1928,F5
BX,3922 PARK AVENUE,1963,F5
BX,2435 WATERBURY AVENUE,1962,F5
BK,4314 NEW UTRECHT AVENUE,1930,F5
BK,473 DAHILL ROAD,1930,F5
BK,835 40 STREET,1955,F5
BK,50 HERKIMER PLACE,1910,F5
QN,167-04 NORTHERN BOULEVARD,1935,O1
BK,174 BRIGHTON 11 STREET,1940,O1
BX,1156 WORTHEN STREET,1920,F5
QN,10-01 43 AVENUE,1920,F5
QN,38-72 13 STREET,1970,F5
BX,3960 MERRITT AVENUE,1959,F5
BX,3931 MULVEY AVENUE,1983,F5
BK,85 COFFEY STREET,1931,F5
QN,36-57 36 STREET,1930,F5
QN,36-39 36 STREET,1930,F5
QN,131 AVENUE,1992,O1
BK,255 CONOVER STREET,1931,F5
BX,412 CITY ISLAND AVENUE,1947,F5
BK,188 4 AVENUE,1931,F5
QN,59-49 56 AVENUE,1949,F5
QN,59-45 56 AVENUE,1940,O1
QN,59-59 56 ROAD,1930,F5
BK,813 63 STREET,1931,F5
BK,276 STAGG STREET,2006,F5
QN,54-24 73 PLACE,1950,O1
MN,144 BAXTER STREET,1969,F5
BK,30 FRANKLIN STREET,1931,F5
BK,107 SANDFORD STREET,1931,F5
BX,967 LONGFELLOW AVENUE,1930,F5
MN,514 WEST 113 STREET,1910,O1
BX,375 EAST 163 STREET,1934,F5
BK,6124 6 AVENUE,1929,F5
BX,2521 BUTLER PLACE,1954,O1
BK,409 WILLOUGHBY AVENUE,1931,F5
